objectid,title,name_2,description,find_address,build_name,build_name_2,room,early_date,late_date,style,identifier,still_exist2,still_exist,genre,subject,themes,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
obj_021,Ariadne being abandoned by Theseus,,Theseus abandoning Ariadne as he sails on his ship. Cupid watches over Ariadne.,VI.15.1,House of the Vettii,Casa dei Vettii,d,62,79,4,IN SITU,Yes,1,Genre,Ariadne; Theseus; Eros,,,,image,https://upload.wikimedia.org/wikipedia/commons/9/9c/House_of_the_Vettii_VI_15%2C1_Pompeii_2018_Central_wall_painting_from_north_wall_of_bedroom_on_left_of_main_entrance%2C_Ariadne_being_abandoned_by_Theseus_courtesy_of_Aude_Durand.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9c/House_of_the_Vettii_VI_15%2C1_Pompeii_2018_Central_wall_painting_from_north_wall_of_bedroom_on_left_of_main_entrance%2C_Ariadne_being_abandoned_by_Theseus_courtesy_of_Aude_Durand.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9c/House_of_the_Vettii_VI_15%2C1_Pompeii_2018_Central_wall_painting_from_north_wall_of_bedroom_on_left_of_main_entrance%2C_Ariadne_being_abandoned_by_Theseus_courtesy_of_Aude_Durand.jpg,,
obj_022,Leander and Hero,,Leander swimming towards Hero in her tower.,VI.15.1,House of the Vettii,Casa dei Vettii,d,62,79,4,IN SITU,Yes,1,Genre,Leander; Hero,,,,image,https://upload.wikimedia.org/wikipedia/commons/c/ca/House_of_the_Vettii_VI_15%2C1_Pompeii_2017_South_wall_of_bedroom_on_left_of_main_entrance%2C_with_painting_of_Leander_swimming_towards_his_beloved_Hero_in_her_tower_courtesy_of_Buzz_Ferebee.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ca/House_of_the_Vettii_VI_15%2C1_Pompeii_2017_South_wall_of_bedroom_on_left_of_main_entrance%2C_with_painting_of_Leander_swimming_towards_his_beloved_Hero_in_her_tower_courtesy_of_Buzz_Ferebee.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ca/House_of_the_Vettii_VI_15%2C1_Pompeii_2017_South_wall_of_bedroom_on_left_of_main_entrance%2C_with_painting_of_Leander_swimming_towards_his_beloved_Hero_in_her_tower_courtesy_of_Buzz_Ferebee.jpg,,
obj_023,Hercules strangling the serpents,,"Baby Hercules strangling the serpents with his parents, Alcmene and Amphitryon.",VI.15.1,House of the Vettii,Casa dei Vettii,n,62,79,4,IN SITU,Yes,1,Genre,Hercules; Alcmene; Amphitryon,,,,image,https://upload.wikimedia.org/wikipedia/commons/e/eb/Hercules_strangling_the_serpents%2C_Pompeii_VI.15.1_%28House_of_the_Vetti%29%2C_triclinium_n%2C_north_wall.jpg,https://upload.wikimedia.org/wikipedia/commons/e/eb/Hercules_strangling_the_serpents%2C_Pompeii_VI.15.1_%28House_of_the_Vetti%29%2C_triclinium_n%2C_north_wall.jpg,https://upload.wikimedia.org/wikipedia/commons/e/eb/Hercules_strangling_the_serpents%2C_Pompeii_VI.15.1_%28House_of_the_Vetti%29%2C_triclinium_n%2C_north_wall.jpg,,
obj_024,Death of Pentheus,,Death of Pentheus by the Maenads.,VI.15.1,House of the Vettii,Casa dei Vettii,n,62,79,4,IN SITU,Yes,1,Genre,Pentheus; Maenads,,,,image,https://upload.wikimedia.org/wikipedia/commons/c/c1/Pompeii_-_Casa_dei_Vettii_-_Pentheus.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c1/Pompeii_-_Casa_dei_Vettii_-_Pentheus.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c1/Pompeii_-_Casa_dei_Vettii_-_Pentheus.jpg,,
obj_025,Punishment of Dirce,,Punishment of Dirce by Amphion and Zethos.,VI.15.1,House of the Vettii,Casa dei Vettii,n,62,79,4,IN SITU,Yes,1,Genre,Dirce; Amphion; Zethos,,,,image,https://upload.wikimedia.org/wikipedia/commons/c/c3/Zetoyanfion.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Zetoyanfion.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Zetoyanfion.jpg,,
obj_026,Metamorphosis of Cyparissus,,Metamorphosis of Cyparisuss with maid looking on.,VI.15.1,House of the Vettii,Casa dei Vettii,e,62,79,4,IN SITU,Yes,1,Genre,Cyparisuss,,,,image,https://upload.wikimedia.org/wikipedia/commons/5/59/Fresco_depicting_the_metamorphosis_of_Cyparissus%2C_House_of_the_Vettii%2C_Pompeii.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Fresco_depicting_the_metamorphosis_of_Cyparissus%2C_House_of_the_Vettii%2C_Pompeii.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Fresco_depicting_the_metamorphosis_of_Cyparissus%2C_House_of_the_Vettii%2C_Pompeii.jpg,,
obj_027,Dionysus and Ariadne with Eros and Pan,,Dionysus and Ariadne with the fight between Eros and Pan.,VI.15.1,House of the Vettii,Casa dei Vettii,e,62,79,4,IN SITU,Yes,1,Genre,Dionysus; Ariadne; Eros; Pan,,,,image,https://upload.wikimedia.org/wikipedia/commons/8/82/House_of_the_Vettii_VI_15%2C1_Pompeii_2023_Central_wall_painting_on_south_wall_showing_Dionysus_and_Ariadne%2C_as_well_as_the_fight_between_Eros_and_Pann_courtesy_of_Johannes_Eber.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/House_of_the_Vettii_VI_15%2C1_Pompeii_2023_Central_wall_painting_on_south_wall_showing_Dionysus_and_Ariadne%2C_as_well_as_the_fight_between_Eros_and_Pann_courtesy_of_Johannes_Eber.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/House_of_the_Vettii_VI_15%2C1_Pompeii_2023_Central_wall_painting_on_south_wall_showing_Dionysus_and_Ariadne%2C_as_well_as_the_fight_between_Eros_and_Pann_courtesy_of_Johannes_Eber.jpg,,
obj_028,Daedalus and Pasiphae,,Daedalus showing Pasiphae the wooden cow.,VI.15.1,House of the Vettii,Casa dei Vettii,p,62,79,4,IN SITU,Yes,1,Genre,Daedalus; Pasiphae,,,,image,https://upload.wikimedia.org/wikipedia/commons/7/70/House_of_the_Vettii_VI_15%2C1_Pompeii_2023_Central_painting_of_Daedalus_showing_Pasiphae_the_wooden_cow%2C_from_center_of_north_wall_of_exedra_p_%28Mau_plan%29_courtesy_of_Johannes_Eber.jpg,https://upload.wikimedia.org/wikipedia/commons/7/70/House_of_the_Vettii_VI_15%2C1_Pompeii_2023_Central_painting_of_Daedalus_showing_Pasiphae_the_wooden_cow%2C_from_center_of_north_wall_of_exedra_p_%28Mau_plan%29_courtesy_of_Johannes_Eber.jpg,https://upload.wikimedia.org/wikipedia/commons/7/70/House_of_the_Vettii_VI_15%2C1_Pompeii_2023_Central_painting_of_Daedalus_showing_Pasiphae_the_wooden_cow%2C_from_center_of_north_wall_of_exedra_p_%28Mau_plan%29_courtesy_of_Johannes_Eber.jpg,,
obj_029,Ixion on the wheel,,"Torture of Ixion on the wheel, with Hephaestus, Hermes, and Hera presiding. Iris stands to Hera's left.",VI.15.1,House of the Vettii,Casa dei Vettii,p,62,79,4,IN SITU,Yes,1,Genre,Ixion; Hephaestus; Hermes; Hera; Iris,,,,image,https://upload.wikimedia.org/wikipedia/commons/5/57/Casa_dei_vettii%2C_vestibolo%2C_oechus_affrescato_sul_peristilio%2C_issione_legato_alla_ruota_da_vulcano_alla_presenza_di_giunone_01.jpg,https://upload.wikimedia.org/wikipedia/commons/5/57/Casa_dei_vettii%2C_vestibolo%2C_oechus_affrescato_sul_peristilio%2C_issione_legato_alla_ruota_da_vulcano_alla_presenza_di_giunone_01.jpg,https://upload.wikimedia.org/wikipedia/commons/5/57/Casa_dei_vettii%2C_vestibolo%2C_oechus_affrescato_sul_peristilio%2C_issione_legato_alla_ruota_da_vulcano_alla_presenza_di_giunone_01.jpg,,
obj_030,Dionysus watching over Ariadne,,Dionysus watching over a sleeping  Ariadne after she is abandoned by Theseus. With Maenads and satyrs.,VI.15.1,House of the Vettii,Casa dei Vettii,p,62,79,4,IN SITU,Yes,1,Genre,Dionysus; Ariadne; Maenads,,,,image,https://upload.wikimedia.org/wikipedia/commons/d/dd/Bacchus_discovering_Ariadne%2C_Pompeii_VI.15.1_%28House_of_the_Vetti%29%2C_polychrome_exedra_p%2C_south_wall_-_01.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Bacchus_discovering_Ariadne%2C_Pompeii_VI.15.1_%28House_of_the_Vetti%29%2C_polychrome_exedra_p%2C_south_wall_-_01.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Bacchus_discovering_Ariadne%2C_Pompeii_VI.15.1_%28House_of_the_Vetti%29%2C_polychrome_exedra_p%2C_south_wall_-_01.jpg,,
